entry,at,order
"The player ""O9O9 @ xswHkyUXqL"" stand up with the stack of 1605050.",2026-01-01T20:42:55.207Z,176730017520700
-- ending hand #1321 --,2026-01-01T20:42:52.175Z,176730017217502
"""9917.. @ xpbZinNQx9"" collected 1600 from pot with Pair, A's (combination: A♥, A♦, K♠, J♠, 7♣)",2026-01-01T20:42:52.175Z,176730017217501
"""9917.. @ xpbZinNQx9"" shows a 7♣, J♠.",2026-01-01T20:42:52.175Z,176730017217500
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:51.344Z,176730017134400
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:49.988Z,176730016998800
"River: 6♠, A♥, 4♦, A♦ [K♠]",2026-01-01T20:42:47.203Z,176730016720300
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:46.389Z,176730016638900
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:45.258Z,176730016525800
"Turn: 6♠, A♥, 4♦ [A♦]",2026-01-01T20:42:42.168Z,176730016216800
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:41.357Z,176730016135700
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:40.237Z,176730016023700
"Flop:  [6♠, A♥, 4♦]",2026-01-01T20:42:35.155Z,176730015515500
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:34.283Z,176730015428300
"""9917.. @ xpbZinNQx9"" calls 800",2026-01-01T20:42:31.656Z,176730015165600
"""O9O9 @ xswHkyUXqL"" posts a big blind of 800",2026-01-01T20:42:28.351Z,176730014835105
"""9917.. @ xpbZinNQx9"" posts a small blind of 400",2026-01-01T20:42:28.351Z,176730014835104
"Player stacks: #7 ""9917.. @ xpbZinNQx9"" (388649) | #9 ""O9O9 @ xswHkyUXqL"" (1605850)",2026-01-01T20:42:28.351Z,176730014835101
"-- starting hand #1321 (id: 1rmmieelrrrz)  (No Limit Texas Hold'em) (dealer: ""9917.. @ xpbZinNQx9"") --",2026-01-01T20:42:28.351Z,176730014835100
-- ending hand #1320 --,2026-01-01T20:42:25.398Z,176730014539802
"""O9O9 @ xswHkyUXqL"" collected 4800 from pot",2026-01-01T20:42:25.398Z,176730014539801
"Uncalled bet of 4800 returned to ""O9O9 @ xswHkyUXqL""",2026-01-01T20:42:25.398Z,176730014539800
"""9917.. @ xpbZinNQx9"" folds",2026-01-01T20:42:24.593Z,176730014459300
"""O9O9 @ xswHkyUXqL"" bets 4800",2026-01-01T20:42:22.434Z,176730014243400
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:19.514Z,176730013951400
"River: K♦, 10♥, 6♠, A♥ [J♠]",2026-01-01T20:42:17.946Z,176730013794600
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:17.098Z,176730013709800
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:14.995Z,176730013499500
"Turn: K♦, 10♥, 6♠ [A♥]",2026-01-01T20:42:13.374Z,176730013337400
"""O9O9 @ xswHkyUXqL"" checks",2026-01-01T20:42:12.533Z,176730013253300
"""9917.. @ xpbZinNQx9"" checks",2026-01-01T20:42:10.342Z,176730013034200
"Flop:  [K♦, 10♥, 6♠]",2026-01-01T20:42:05.628Z,176730012562800
"""O9O9 @ xswHkyUXqL"" calls 2400",2026-01-01T20:42:04.793Z,176730012479300
"""9917.. @ xpbZinNQx9"" raises to 2400",2026-01-01T20:42:01.022Z,176730012102200
"""O9O9 @ xswHkyUXqL"" calls 800",2026-01-01T20:41:48.817Z,176730010881700
