player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
9917..,xpbZinNQx9,2026-01-01T18:51:48.420Z,,1512399,,389449,-1122950
O9O9,xswHkyUXqL,2026-01-01T17:36:19.282Z,,400000,,1605050,1205050
Black,eLlYR19TDN,2026-01-01T15:26:07.591Z,,950000,,993300,43300
Justin,g0FfVCh6gI,2026-01-01T13:27:44.385Z,,500000,,1472544,972544
Justin,g0FfVCh6gI,2026-01-01T13:26:22.874Z,2026-01-01T13:27:10.160Z,50000,50000,0,0
zxc2,u341hEhZ9E,2026-01-01T13:11:01.594Z,,800000,,1800000,1000000
9917,Ek559oOV8c,2026-01-01T13:08:59.319Z,2026-01-01T18:47:19.007Z,200000,1405536,0,1205536
9917,Ek559oOV8c,2026-01-01T13:04:27.103Z,2026-01-01T13:08:22.967Z,100000,0,0,-100000
9917,Ek559oOV8c,2026-01-01T12:50:11.419Z,2026-01-01T13:03:03.421Z,100000,0,0,-100000
jho,t3NhL8TnYz,2026-01-01T12:35:11.317Z,2026-01-01T17:02:20.481Z,300000,0,0,-300000
LIT2,3jIWLYiXzx,2026-01-01T11:48:55.485Z,,199600,,1000750,801150
LIT,Mw0SATaN53,2026-01-01T11:48:15.654Z,2026-01-01T11:48:55.481Z,200000,199600,0,-400
jho,t3NhL8TnYz,2026-01-01T07:37:13.031Z,2026-01-01T12:34:12.635Z,250000,0,0,-250000
LIT,Mw0SATaN53,2026-01-01T07:13:45.223Z,2026-01-01T11:47:51.724Z,200000,0,0,-200000
jho,t3NhL8TnYz,2026-01-01T06:31:53.256Z,2026-01-01T06:55:57.311Z,350000,0,0,-350000
9917,Ek559oOV8c,2026-01-01T06:21:06.173Z,2026-01-01T12:44:41.668Z,106863,0,0,-106863
Justin,g0FfVCh6gI,2026-01-01T05:50:33.769Z,2026-01-01T13:25:07.062Z,300000,0,0,-300000
O9O9,xswHkyUXqL,2026-01-01T05:47:31.062Z,2026-01-01T17:35:47.176Z,900000,0,0,-900000
O9O9,xswHkyUXqL,2026-01-01T05:43:12.896Z,2026-01-01T05:47:01.908Z,150000,0,0,-150000
zxc,uaMcxyz0Rj,2026-01-01T05:37:43.568Z,2026-01-01T13:11:01.584Z,300000,445770,0,145770
Black,eLlYR19TDN,2026-01-01T05:36:42.438Z,2026-01-01T15:24:10.055Z,500113,0,0,-500113
zxc,uaMcxyz0Rj,2026-01-01T05:34:27.846Z,2026-01-01T05:36:42.433Z,150000,0,0,-150000
jho,t3NhL8TnYz,2026-01-01T05:25:35.926Z,2026-01-01T06:31:28.236Z,400000,0,0,-400000
9917,Ek559oOV8c,2026-01-01T05:18:24.862Z,2026-01-01T05:47:01.922Z,50000,106863,0,56863
Justin,g0FfVCh6gI,2026-01-01T05:17:30.645Z,2026-01-01T05:50:04.051Z,50000,0,0,-50000
O9O9,xswHkyUXqL,2026-01-01T05:15:18.192Z,2026-01-01T05:42:32.615Z,50000,0,0,-50000
Justin,g0FfVCh6gI,2026-01-01T05:15:18.190Z,2026-01-01T05:16:43.614Z,50000,0,0,-50000
O9O9,xswHkyUXqL,2026-01-01T04:57:30.909Z,2026-01-01T05:15:01.190Z,50000,0,0,-50000
LIT,Mw0SATaN53,2026-01-01T04:54:52.121Z,2026-01-01T07:12:18.974Z,50000,0,0,-50000
O9O9,xswHkyUXqL,2026-01-01T04:42:45.329Z,2026-01-01T04:56:41.732Z,50000,0,0,-50000
Justin,g0FfVCh6gI,2026-01-01T04:37:09.275Z,2026-01-01T05:15:01.173Z,50000,0,0,-50000
Justin,g0FfVCh6gI,2026-01-01T04:33:12.986Z,2026-01-01T04:34:33.423Z,50000,0,0,-50000
9917,Ek559oOV8c,2026-01-01T04:32:44.056Z,2026-01-01T05:17:30.641Z,50000,0,0,-50000
black,e2LT3dd3Tx,2026-01-01T04:32:44.052Z,2026-01-01T05:36:42.436Z,150000,150113,0,113
LIT,Mw0SATaN53,2026-01-01T04:32:44.047Z,2026-01-01T04:54:05.180Z,50000,0,0,-50000
