player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
9292,xswHkyUXqL,2025-12-17T11:49:03.859Z,,400000,,513645,113645
Dwan,thyyJUIpI9,2025-12-17T10:36:23.304Z,,445250,,399600,-45650
드완,Mw0SATaN53,2025-12-17T10:02:11.961Z,2025-12-17T10:36:02.384Z,367000,445250,0,78250
9292,xswHkyUXqL,2025-12-17T10:01:29.223Z,2025-12-17T11:48:38.075Z,200000,0,0,-200000
Dwan,thyyJUIpI9,2025-12-17T09:56:31.078Z,2025-12-17T10:01:29.219Z,200000,367000,0,167000
Dwan,thyyJUIpI9,2025-12-17T09:46:04.034Z,2025-12-17T09:55:25.580Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-17T09:22:27.491Z,2025-12-17T09:59:55.104Z,200000,0,0,-200000
9292,xswHkyUXqL,2025-12-17T09:21:22.242Z,2025-12-17T09:22:19.774Z,100000,0,0,-100000
black,eLlYR19TDN,2025-12-17T07:10:59.475Z,,150000,,657878,507878
Dwan,thyyJUIpI9,2025-12-17T06:54:16.104Z,2025-12-17T08:13:01.806Z,50000,0,0,-50000
black,6HmBRHGZcY,2025-12-17T06:34:49.012Z,2025-12-17T07:10:59.470Z,150000,65500,0,-84500
9292,xswHkyUXqL,2025-12-17T06:05:47.385Z,2025-12-17T09:21:14.196Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-17T06:02:10.747Z,2025-12-17T06:05:25.121Z,50000,0,0,-50000
Dwan,thyyJUIpI9,2025-12-17T05:44:02.852Z,2025-12-17T06:03:54.379Z,50000,0,0,-50000
Sh,Ek559oOV8c,2025-12-17T05:32:43.304Z,2025-12-17T07:36:20.352Z,50000,0,0,-50000
black,6HmBRHGZcY,2025-12-17T05:32:10.020Z,2025-12-17T06:33:33.330Z,100000,0,0,-100000
black,6HmBRHGZcY,2025-12-17T05:20:26.052Z,2025-12-17T05:32:02.467Z,50000,0,0,-50000
zxc,uaMcxyz0Rj,2025-12-17T05:20:26.049Z,,50000,,313377,263377
