entry,at,order
"The player ""Justin @ g0FfVCh6gI"" stand up with the stack of 903848.",2026-01-05T16:15:11.315Z,176762971131500
-- ending hand #713 --,2026-01-05T16:15:08.403Z,176762970840302
"""블몬 @ eLlYR19TDN"" collected 400 from pot",2026-01-05T16:15:08.403Z,176762970840301
"Uncalled bet of 200 returned to ""블몬 @ eLlYR19TDN""",2026-01-05T16:15:08.403Z,176762970840300
"""Justin @ g0FfVCh6gI"" folds",2026-01-05T16:15:07.543Z,176762970754300
"""블몬 @ eLlYR19TDN"" posts a big blind of 400",2026-01-05T16:15:03.994Z,176762970399405
"""Justin @ g0FfVCh6gI"" posts a small blind of 200",2026-01-05T16:15:03.994Z,176762970399404
"Player stacks: #1 ""블몬 @ eLlYR19TDN"" (404838) | #6 ""Justin @ g0FfVCh6gI"" (904048)",2026-01-05T16:15:03.994Z,176762970399401
"-- starting hand #713 (id: dvecjmjgifgw)  (No Limit Texas Hold'em) (dealer: ""Justin @ g0FfVCh6gI"") --",2026-01-05T16:15:03.994Z,176762970399400
-- ending hand #712 --,2026-01-05T16:14:57.916Z,176762969791602
"""블몬 @ eLlYR19TDN"" collected 63600 from pot with Pair, 5's (combination: 5♣, 5♦, K♣, 10♥, 9♦)",2026-01-05T16:14:57.916Z,176762969791601
"""블몬 @ eLlYR19TDN"" shows a 5♣, K♣.",2026-01-05T16:14:57.916Z,176762969791600
"""Justin @ g0FfVCh6gI"" calls 21200",2026-01-05T16:14:57.072Z,176762969707200
"""블몬 @ eLlYR19TDN"" bets 21200",2026-01-05T16:14:55.983Z,176762969598300
"""Justin @ g0FfVCh6gI"" checks",2026-01-05T16:14:53.350Z,176762969335000
"River: 10♥, 3♠, 5♦, 9♦ [2♥]",2026-01-05T16:14:49.328Z,176762968932800
"""블몬 @ eLlYR19TDN"" checks",2026-01-05T16:14:48.503Z,176762968850300
"""Justin @ g0FfVCh6gI"" checks",2026-01-05T16:14:46.290Z,176762968629000
"Turn: 10♥, 3♠, 5♦ [9♦]",2026-01-05T16:14:43.876Z,176762968387600
"""블몬 @ eLlYR19TDN"" calls 5600",2026-01-05T16:14:43.073Z,176762968307300
"""Justin @ g0FfVCh6gI"" bets 5600",2026-01-05T16:14:41.437Z,176762968143700
"Flop:  [10♥, 3♠, 5♦]",2026-01-05T16:14:34.379Z,176762967437900
"""블몬 @ eLlYR19TDN"" calls 5000",2026-01-05T16:14:33.571Z,176762967357100
"""Justin @ g0FfVCh6gI"" raises to 5000",2026-01-05T16:14:32.035Z,176762967203500
"""블몬 @ eLlYR19TDN"" raises to 1200",2026-01-05T16:14:28.856Z,176762966885600
